Discounted_Price,Actual_Price,Rating,Reviews,Brand,Core,SSD,Series,Processor,RAM,Storage
2109990.0,2500000.0,,,HP,Ultra 5,,Envy,Intel Core Ultra 5,,
1919990.0,2500000.0,,,Asus,Ultra 5,,Zenbook,Intel Core Ultra 5,,
1979990.0,2099990.0,,,Dell,Core i5,512GB,Inspiron,Intel Core i5,16GB,512GB SSD
2419990.0,2799990.0,,,Lenovo,,,LOQ,Intel Core i5,,
1109990.0,1599990.0,5.0,2.0,Infinix,Core i5,512GB,Inbook,Intel Core i5,8GB,512GB SSD
1289990.0,1520000.0,,,HP,Core i3,,Other,Intel Core i3,4GB,256GB SSD
1509990.0,1800000.0,5.0,1.0,HP,Core i5,,Other,Intel Core i5,8GB,512GB SSD
1779990.0,2200000.0,,,HP,Core i7,512GB,Other,Intel Core i7,8GB,512GB SSD
1159990.0,1260000.0,5.0,1.0,HP,Ryzen 5,,Other,AMD Ryzen 5,8GB,512GB SSD
1295990.0,1500000.0,,,Dell,Core i5,,Vostro,Intel Core i5,8GB,512GB SSD
2859990.0,3200000.0,,,HP,Core i7,,Victus,Intel Core i7,16GB,512GB SSD
1519990.0,2100000.0,,,HP,Ryzen 7,,Other,AMD Ryzen 7,8GB,512GB SSD
2319990.0,2920000.0,,,HP,,512GB,Victus,,8GB,512GB SSD
4019990.0,4250000.0,,,HP,,,Other,,,
4809990.0,4999990.0,,,Acer,Core i9,,Predator,Intel Core i9,32GB,1TB SSD
2969990.0,3350000.0,,,HP,,512GB,Victus,,8GB,512GB SSD
1764990.0,,,,HP,Core i5,512GB,Other,Intel Core i5,8GB,512GB SSD
859990.0,1119990.0,48.0,4.0,Infinix,Core i3,256GB,Inbook,Intel Core i3,8GB,256GB SSD
1079990.0,1250000.0,,,HP,,,Other,,4GB,256GB SSD
1019990.0,1399990.0,45.0,1.0,Dell,Core i3,,Vostro,Intel Core i3,,
1069990.0,1200000.0,,,HP,Core i3,,Other,Intel Core i3,8GB,256GB SSD
2069990.0,2200000.0,,,HP,Ryzen 5,,Other,AMD Ryzen 5,16GB,1TB SSD
1169990.0,1500000.0,,,HP,Ryzen 5,,Other,AMD Ryzen 5,8GB,512GB SSD
3609990.0,4000000.0,,,HP,Core i7,,Envy,Intel Core i7,16GB,1TB SSD
2309990.0,3000000.0,,,HP,Ultra 7,,Envy,Intel Core Ultra 7,,
2659990.0,3000000.0,,,Asus,Ultra 7,,Zenbook,Intel Core Ultra 7,,
3959990.0,4499990.0,,,Apple,M3,,MacBook,Apple M3,,
4309990.0,5500000.0,,,Acer,Ultra 9,,Predator,,32GB,1TB SSD
1769990.0,1999990.0,,,Lenovo,Core i5,512GB,IdeaPad,Intel Core i5,16GB,512GB SSD
1739990.0,1999990.0,,,HP,Core i7,,Other,Intel Core i7,8GB,512GB SSD
1445990.0,1749990.0,5.0,1.0,Lenovo,Core i5,,IdeaPad,Intel Core i5,8GB,512GB SSD
1559990.0,1849990.0,,,Lenovo,Core i7,,IdeaPad,Intel Core i7,8GB,1TB SSD
1529990.0,1899990.0,,,HP,,,Other,Intel Core i5,8GB,512GB SSD
1349990.0,1700000.0,,,Dell,Core i5,,Vostro,Intel Core i5,,
1569990.0,2000000.0,,,Asus,Core i7,,ExpertBook,Intel Core i7,16GB,512GB SSD
2889990.0,4000000.0,5.0,1.0,Apple,M3,,MacBook,Apple M3,,
1984990.0,2450000.0,,,HP,Ryzen 7,,Other,AMD Ryzen 7,16GB,1TB SSD
2519990.0,2990000.0,,,HP,Ultra 7,,Envy,Intel Core Ultra 7,16GB,1TB SSD
2229990.0,2700000.0,,,HP,Core i7,,Other,Intel Core i7,16GB,512GB SSD
1419990.0,1800000.0,,,Lenovo,Ryzen 5,,ThinkPad,AMD Ryzen 5,,
2889990.0,3000000.0,,,Apple,M3,,MacBook,Apple M3,,
1899990.0,2199990.0,,,Dell,Core i7,512GB,Inspiron,Intel Core i7,16GB,512GB SSD
1344990.0,1429990.0,,,Dell,Ryzen 7,512GB,Inspiron,AMD Ryzen 7,16GB,512GB SSD
